iter	Passed	Remaining
404	8949	24197
405	8971	24174
406	8994	24155
407	9019	24139
408	9038	24109
409	9061	24091
410	9087	24077
411	9110	24059
412	9134	24042
413	9155	24016
414	9178	23997
415	9202	23979
416	9227	23965
417	9249	23943
418	9273	23925
419	9295	23901
420	9318	23884
421	9343	23866
422	9365	23845
423	9386	23821
424	9411	23805
425	9435	23787
426	9459	23770
427	9485	23757
428	9509	23739
429	9529	23713
430	9547	23681
431	9572	23664
432	9594	23643
433	9618	23626
434	9643	23610
435	9665	23586
436	9690	23572
437	9716	23558
438	9742	23546
439	9767	23530
440	9796	23524
441	9818	23502
442	9841	23482
443	9865	23464
444	9884	23433
445	9903	23404
446	9926	23383
447	9947	23359
448	9971	23341
449	9997	23327
450	10019	23304
451	10042	23284
452	10064	23261
453	10088	23243
454	10111	23223
455	10134	23203
456	10157	23183
457	10181	23164
458	10208	23152
459	10231	23132
460	10257	23117
461	10279	23094
462	10300	23071
463	10323	23049
464	10345	23027
465	10364	22997
466	10387	22977
467	10410	22956
468	10432	22933
469	10459	22921
470	10480	22896
471	10506	22881
472	10529	22862
473	10556	22850
474	10580	22830
475	10600	22803
476	10623	22782
477	10646	22763
478	10670	22744
479	10693	22724
480	10716	22702
481	10737	22677
482	10758	22653
483	10783	22636
484	10808	22620
485	10832	22601
486	10854	22579
487	10876	22554
488	10897	22530
489	10917	22503
490	10940	22482
491	10963	22461
492	10985	22438
493	11007	22416
494	11027	22389
495	11046	22359
496	11068	22337
497	11091	22316
498	11113	22294
499	11136	22273
500	11158	22250
501	11182	22230
502	11204	22208
503	11225	22184
504	11247	22160
505	11268	22137
506	11290	22113
507	11313	22092
508	11332	22064
509	11356	22044
510	11379	22023
511	11401	22000
512	11422	21977
513	11446	21958
514	11468	21934
515	11491	21913
516	11514	21893
517	11534	21865
518	11557	21844
519	11576	21816
520	11603	21803
521	11625	21780
522	11647	21759
523	11667	21732
524	11686	21702
525	11710	21684
526	11732	21661
527	11755	21641
528	11776	21616
529	11799	21594
530	11822	21573
531	11845	21552
532	11867	21530
533	11890	21510
534	11916	21494
535	11941	21476
536	11965	21456
537	11985	21431
538	12007	21408
539	12032	21390
540	12055	21370
541	12079	21350
542	12107	21337
543	12131	21319
544	12153	21297
545	12178	21279
546	12202	21259
547	12225	21238
548	12248	21217
549	12268	21190
550	12292	21171
551	12313	21146
552	12337	21128
553	12361	21107
554	12384	21086
555	12405	21061
556	12427	21039
557	12449	21016
558	12473	20997
559	12493	20971
560	12515	20948
561	12538	20927
562	12560	20904
563	12582	20882
564	12603	20856
565	12627	20837
566	12651	20818
567	12676	20800
568	12694	20771
569	12716	20747
570	12739	20726
571	12761	20704
572	12783	20680
573	12805	20658
574	12829	20638
575	12851	20616
576	12875	20596
577	12902	20581
578	12924	20559
579	12946	20536
580	12969	20515
581	12990	20490
582	13014	20469
583	13038	20450
584	13060	20427
585	13084	20408
586	13109	20389
587	13132	20368
588	13156	20348
589	13179	20327
590	13204	20309
591	13225	20285
592	13249	20264
593	13271	20242
594	13294	20220
595	13315	20196
596	13339	20176
597	13359	20150
598	13381	20128
599	13407	20110
600	13430	20089
601	13454	20069
602	13478	20049
603	13501	20028
604	13525	20008
605	13548	19987
606	13573	19968
607	13597	19948
608	13618	19925
609	13641	19903
610	13663	19880
611	13684	19856
612	13708	19835
613	13732	19815
614	13756	19795
615	13777	19771
616	13799	19748
617	13822	19727
618	13847	19708
619	13870	19686
620	13893	19665
621	13919	19648
622	13939	19623
623	13963	19602
624	13983	19576
625	14004	19552
626	14027	19530
627	14053	19513
628	14075	19491
629	14099	19470
630	14121	19447
631	14142	19424
632	14164	19400
633	14187	19379
634	14211	19358
635	14234	19337
636	14260	19319
637	14282	19296
638	14304	19274
639	14326	19251
640	14350	19230
641	14374	19210
642	14397	19188
643	14421	19168
644	14445	19149
645	14467	19125
646	14492	19106
647	14515	19085
648	14540	19066
649	14562	19042
650	14584	19020
651	14609	19001
652	14634	18982
653	14657	18961
654	14682	18941
655	14703	18917
656	14731	18901
657	14755	18881
658	14776	18857
659	14795	18830
660	14816	18806
661	14839	18784
662	14861	18761
663	14882	18737
664	14906	18717
665	14926	18691
666	14952	18673
667	14973	18650
668	14999	18631
669	15024	18612
670	15045	18588
671	15066	18564
672	15090	18543
673	15111	18518
674	15133	18496
675	15156	18475
676	15178	18452
677	15199	18427
678	15222	18406
679	15246	18385
680	15268	18363
681	15291	18340
682	15314	18318
683	15337	18296
684	15358	18273
685	15383	18254
686	15408	18234
687	15429	18210
688	15452	18188
689	15473	18165
690	15499	18146
691	15524	18126
692	15548	18106
693	15570	18083
694	15591	18059
695	15614	18037
696	15634	18012
697	15656	17988
698	15677	17965
699	15698	17941
700	15719	17916
701	15741	17894
702	15768	17876
703	15793	17857
704	15818	17837
705	15839	17814
706	15863	17793
707	15887	17772
708	15909	17749
709	15932	17727
710	15955	17705
711	15979	17684
712	16000	17661
713	16022	17638
714	16045	17616
715	16070	17597
716	16092	17574
717	16114	17550
718	16135	17526
719	16156	17502
720	16180	17481
721	16205	17462
722	16230	17442
723	16251	17418
724	16274	17396
725	16297	17374
726	16318	17350
727	16343	17331
728	16364	17307
729	16387	17285
730	16408	17261
731	16431	17239
732	16454	17217
733	16479	17197
734	16500	17174
735	16525	17154
736	16549	17133
737	16572	17111
738	16595	17089
739	16618	17068
740	16639	17043
741	16662	17022
742	16684	16998
743	16705	16975
744	16726	16950
745	16747	16927
746	16771	16906
747	16794	16884
748	16818	16863
749	16843	16843
750	16867	16822
751	16889	16799
752	16913	16778
753	16938	16758
754	16963	16738
755	16986	16717
756	17008	16693
757	17031	16671
758	17053	16648
759	17076	16626
760	17098	16604
761	17121	16582
762	17142	16558
763	17166	16536
764	17191	16516
765	17212	16493
766	17234	16470
767	17258	16449
768	17282	16428
769	17303	16404
770	17332	16387
771	17355	16366
772	17379	16345
773	17403	16324
774	17425	16301
775	17451	16281
776	17476	16261
777	17500	16240
778	17522	16217
779	17545	16196
780	17567	16172
781	17591	16151
782	17615	16130
783	17639	16109
784	17664	16088
785	17686	16066
786	17709	16044
787	17730	16020
788	17753	15998
789	17778	15977
790	17800	15955
791	17826	15935
792	17850	15914
793	17874	15893
794	17895	15869
795	17919	15848
796	17944	15827
797	17965	15804
798	17992	15785
799	18014	15762
800	18041	15743
801	18063	15721
802	18083	15696
803	18110	15677
804	18134	15656
805	18156	15633
806	18178	15610
807	18202	15589
808	18227	15568
809	18250	15546
810	18272	15524
811	18295	15501
812	18319	15480
813	18342	15458
814	18370	15440
815	18392	15417
816	18417	15396
817	18441	15375
818	18465	15354
819	18488	15332
820	18510	15309
821	18534	15287
822	18559	15266
823	18580	15242
824	18603	15221
825	18637	15208
826	18659	15184
827	18681	15161
828	18704	15139
829	18727	15117
830	18749	15094
831	18773	15072
832	18797	15051
833	18819	15028
834	18841	15005
835	18866	14984
836	18886	14960
837	18910	14939
838	18932	14915
839	18953	14892
840	18977	14870
841	19000	14848
842	19025	14827
843	19051	14807
844	19073	14784
845	19094	14761
846	19120	14741
847	19143	14718
848	19167	14697
849	19188	14673
850	19214	14653
851	19238	14632
852	19260	14609
853	19282	14586
854	19300	14560
855	19324	14538
856	19349	14517
857	19375	14497
858	19400	14477
859	19427	14457
860	19452	14437
861	19475	14414
862	19499	14393
863	19524	14371
864	19546	14349
865	19569	14326
866	19593	14305
867	19616	14282
868	19636	14258
869	19659	14236
870	19681	14213
871	19702	14189
872	19724	14166
873	19746	14143
874	19769	14121
875	19792	14098
876	19815	14076
877	19840	14055
878	19865	14034
879	19888	14012
880	19911	13990
881	19935	13968
882	19959	13946
883	19980	13922
884	20007	13903
885	20032	13882
886	20059	13862
887	20081	13839
888	20103	13816
889	20127	13794
890	20150	13772
891	20170	13748
892	20197	13728
893	20220	13706
894	20243	13683
895	20268	13662
896	20289	13639
897	20312	13616
898	20335	13594
899	20360	13573
900	20384	13551
901	20403	13527
902	20428	13506
903	20455	13486
904	20482	13466
905	20508	13445
906	20536	13426
907	20558	13403
908	20582	13381
909	20607	13361
910	20630	13338
911	20655	13317
912	20677	13294
913	20700	13271
914	20723	13249
915	20747	13227
916	20776	13209
917	20799	13186
918	20819	13162
919	20843	13140
920	20867	13118
921	20888	13095
922	20911	13072
923	20931	13048
924	20954	13025
925	20979	13004
926	21002	12982
927	21025	12959
928	21048	12937
929	21074	12916
930	21100	12895
931	21122	12872
932	21145	12850
933	21171	12829
934	21195	12807
935	21219	12786
936	21243	12764
937	21263	12739
938	21284	12716
939	21308	12694
940	21329	12671
941	21353	12649
942	21378	12627
943	21401	12605
944	21425	12583
945	21448	12560
946	21469	12537
947	21494	12516
948	21515	12492
949	21537	12469
950	21560	12446
951	21583	12424
952	21606	12401
953	21630	12379
954	21653	12357
955	21677	12335
956	21699	12312
957	21722	12290
958	21748	12268
959	21770	12245
960	21794	12223
961	21818	12202
962	21839	12178
963	21862	12155
964	21887	12134
965	21909	12111
966	21934	12090
967	21956	12067
968	21980	12044
969	22003	12022
970	22028	12000
971	22049	11977
972	22072	11955
973	22096	11933
974	22121	11911
975	22143	11888
976	22164	11865
977	22187	11842
978	22210	11819
979	22232	11796
980	22256	11774
981	22278	11751
982	22298	11727
983	22320	11704
984	22346	11683
985	22371	11662
986	22395	11640
987	22416	11616
988	22442	11595
989	22464	11572
990	22486	11549
991	22512	11528
992	22534	11505
993	22556	11482
994	22580	11460
995	22607	11440
996	22632	11418
997	22656	11396
998	22679	11373
999	22710	11355
1000	22734	11333
1001	22757	11310
1002	22780	11288
1003	22800	11264
1004	22823	11241
