epoch,train_loss,val_loss
0,117.0308605526623,8.831323266029358
1,4.535776610437193,4.234076057609759
2,3.0313219286893545,1.7505323416308354
3,2.4771106596055783,2.441908055230191
4,2.1856523689470793,1.6460296166570563
5,1.9407695586744107,2.156847351475766
6,1.7818098240777065,1.7528499741303294
7,1.4904560885931317,2.160052638304861
8,1.5182052497801029,1.8696300136415582
9,1.4992278971170123,1.4646157622337341
10,1.8301571442892677,1.885264470389015
11,2.0537520192171397,2.6760151637227914
12,1.8306076354102085,1.2311240748355263
13,1.6746662251259152,2.1472910172060917
14,1.5441331267356873,2.0368989423701636
15,1.592100783398277,3.164853710877268
16,1.5327950865030289,1.5508219223273427
17,1.5114291522063708,1.2293715571102344
18,1.2963504218741466,1.845870410141192
19,1.313463676132654,2.7753961713690507
20,1.1873720586299896,1.089864260271976
21,1.1977169615657706,1.1274005143265975
22,1.2025744734626067,1.2952441008467424
23,1.1411322708192624,1.4041208122905933
24,1.061299592256546,1.233395998415194
25,0.9774844407251007,1.313680771150087
26,0.9757961638663945,1.067386326821227
27,0.9599676045932268,1.2197720941744352
28,0.9394679187159789,1.3096519740004289
29,0.9457900955488807,1.1938378465803046
30,1.3232722525533878,2.1828235889735974
31,1.3640803530027992,1.0188307134728682
32,1.3282827178114338,1.999071180820465
33,1.2570120825579292,1.404577004282098
34,1.3297151138907986,1.4696908467694332
35,1.3598589363851046,2.8236379999863472
36,1.2737883184301226,1.437321386839214
37,1.2499315326935367,1.3318849205970764
38,1.24749650296412,1.2120949688710665
39,1.0943012876730216,1.8225885786508258
40,1.0852995287430913,1.4414435719188892
41,1.1046275508246923,1.9172876069420262
42,1.1166730585851168,1.1039234807616787
43,1.065173943183924,1.5572425252512883
44,1.0556086548849155,0.9829149230530387
45,1.06567739656097,1.3721097645006681
46,0.9789921704091524,1.2602159631879706
47,1.0408347856841589,0.9957415571338252
48,1.031928539276123,1.5308850093891746
49,0.9495258170523142,1.055701798514316
50,0.9025416197745424,0.9906080804373089
51,0.93593800969814,0.8922163028466074
52,1.0154479836162769,1.0157281756401062
53,0.8833219605056863,1.012813056770124
54,0.8811044218508821,1.0273171192721318
55,0.8569817480288053,1.2005578750058223
56,0.8244618447987657,1.060218422036422
57,0.8371685421780536,1.1691172358236814
58,0.7932604372893509,1.6050738096237183
59,0.7945471735377061,1.1534623284088938
60,0.779851750323647,1.0010099426696175
61,0.8025166537416609,1.0005747801379155
62,0.7929106986052111,0.9810508285698137
63,0.790306027390455,0.9953651161570298
64,0.7780831891455149,0.9463082551956177
65,0.7537454570594587,1.0648856194395768
66,0.7546738907694817,1.011213995908436
67,0.7444383874535561,1.016930048402987
68,0.7451103306130359,1.0335911151609922
69,0.755103770055269,0.9996756864221472
70,1.0863817647883767,1.0716429180220555
71,1.0065496171775616,1.1720369113119025
